year,polar,dpolar,recession,election,wars,conservative,ldisp,unemp,misery,gdpg,polarg,polaro,polarg_graph,polaro_graph,ww1,ww2,angloirish,korean,falkland,irak,afghan,troubles,troubles69,troubles72
1946,0.091798052,-0.29172683,1,0,0,0,-0.21362862,-0.82701087,-0.83828741,-1.4725497,-0.92742103,0.70560461,0.29544944,0.28407547,0,0,0,0,0,0,0,0,0,0
1947,-0.33963278,-0.43143082,1,0,0,0,-0.12317979,-0.94413251,-0.9191674,-1.0953928,-1.117864,0.0038054173,0.29097447,0.27304479,0,0,0,0,0,0,0,0,0,0
1948,-0.24730906,0.09232372,0,0,0,0,-0.29238212,-0.94413251,-0.97477239,0.33761176,-1.0444821,0.1021467,0.29269877,0.27459049,0,0,0,0,0,0,0,0,0,0
1949,-0.32785377,-0.08054471,0,0,0,0,-0.34749132,-0.90872365,-0.9621349,0.39185598,-1.285028,0.24718054,0.28704646,0.2768701,0,0,0,0,0,0,0,0,0,0
1950,-0.063886695,0.26396707,0,1,0,0,-0.54588223,-0.90872365,-1.0253223,0.36664838,-0.99176717,0.44004935,0.29393744,0.27990153,0,0,0,0,0,0,0,0,0,0
1951,-0.48241961,-0.41853291,0,1,1,0,-0.39618745,-0.99316013,-1.0531249,0.51246959,-1.3600864,0.036991175,0.28528276,0.2735664,0,0,0,1,0,0,0,0,0,0
1952,-0.38282797,0.099591643,0,0,0,1,-0.35377726,-0.87331474,-0.92927736,-0.17707014,-0.94452631,-0.1639767,0.29504752,0.27040765,0,0,0,0,0,0,0,0,0,0
1953,-0.24560447,0.1372235,0,0,0,1,-0.2045974,-0.88693357,-0.89136487,1.0740567,-0.90039963,0.022677913,0.2960844,0.27334142,0,0,0,0,0,0,0,0,0,0
1954,0.02812564,0.2737301,0,0,0,1,-0.11577754,-0.95230377,-0.92422235,0.68509382,-0.48687485,0.1718449,0.3058013,0.275686,0,0,0,0,0,0,0,0,0,0
1955,-0.33014581,-0.35827145,0,1,0,1,0.20927413,-1.0231215,-0.87872738,0.5335291,-0.59529519,-0.5616762,0.30325368,0.2641567,0,0,0,0,0,0,0,0,0,0
1956,-0.61960965,-0.28946385,1,0,0,1,-0.24030307,-1.0095026,-1.0177399,-0.16622131,-0.91969347,-0.85108995,0.29563102,0.25960779,0,0,0,0,0,0,0,0,0,0
1957,-0.13612159,0.48348808,0,0,0,1,0.8123036,-0.93323743,-0.59564739,-0.076558799,-0.5723573,-0.25054854,0.30379266,0.26904693,0,0,0,0,0,0,0,0,0,0
1958,-0.18165012,-0.045528531,0,0,0,1,0.14280644,-0.79160202,-0.6866374,-0.28523949,-0.56678039,-0.38195273,0.3039237,0.26698154,0,0,0,0,0,0,0,0,0,0
1959,0.14062634,0.32227647,0,1,0,1,0.45966595,-0.76164067,-0.5526799,0.62255347,-0.36130685,0.076833747,0.30875188,0.27419263,0,0,0,0,0,0,0,0,0,0
1960,0.09386757,-0.046758771,0,0,0,1,0.040802725,-0.88148606,-0.80542988,1.3181558,-0.31707379,-0.048185587,0.30979127,0.27222762,0,0,0,0,0,0,0,0,0,0
1961,-0.33693904,-0.43080661,1,0,0,1,0.046269022,-0.91961867,-0.83828741,0.16626385,-0.62397885,-0.55571234,0.30257967,0.26425046,0,0,0,0,0,0,0,0,0,0
1962,-0.0008269104,0.33611211,0,0,0,1,0.5316692,-0.79432577,-0.55773491,-0.33693105,-0.28278065,-0.33017331,0.31059706,0.26779541,0,0,0,0,0,0,0,0,0,0
1963,0.33442745,0.33525437,0,0,0,1,-0.36951032,-0.69899422,-0.7725724,0.86888599,-0.004393341,-0.036040235,0.31713855,0.2724185,0,0,0,0,0,0,0,0,0,0
1964,0.28432092,-0.050106525,0,1,0,1,-0.173151,-0.86786723,-0.86356241,1.0871392,-0.41892377,0.53020108,0.30739802,0.28131852,0,0,0,0,0,0,0,0,0,0
1965,0.15582736,-0.12849356,0,0,0,0,0.015701862,-0.93051368,-0.85850739,-0.0015741459,-0.85974765,0.92479849,0.29703963,0.28752068,0,0,0,0,0,0,0,0,0,0
1966,-0.044033471,-0.19986083,0,1,0,0,-0.13410665,-0.91961867,-0.89641988,-0.19015257,-0.88012469,0.37994492,0.29656079,0.27895683,0,0,0,0,0,0,0,0,0,0
1967,-0.11934934,-0.075315863,0,0,0,0,-0.020742701,-0.70444173,-0.66136241,0.20263939,-0.92903316,0.2665863,0.29541156,0.2771751,0,0,0,0,0,0,0,0,0,0
1968,-0.28573951,-0.16639018,0,0,0,0,0.37173989,-0.67175663,-0.49960244,1.0657606,-1.0626507,-0.046625756,0.29227185,0.27225211,0,0,0,0,0,0,0,0,0,0
1969,-0.22701611,0.058723405,0,0,1,0,0.65696359,-0.67992795,-0.40861243,-0.067305379,-1.0047656,-0.010842443,0.29363203,0.27281457,0,0,0,0,0,0,0,1,1,0
1970,0.172855,0.39987111,0,1,0,1,1.0132073,-0.64451909,-0.25696248,0.17679361,-0.5872705,0.30350733,0.30344224,0.27775541,0,0,0,0,0,0,0,1,0,0
1971,-0.41881865,-0.59167367,0,0,0,1,1.171858,-0.59821516,-0.16344498,0.4228071,-0.55719531,-1.1308548,0.30414894,0.25521052,0,0,0,0,0,0,0,1,0,0
1972,-0.26786959,0.15094906,0,0,1,1,1.6000303,-0.51650244,0.056447491,0.66052443,-0.52248859,-0.84193707,0.30496445,0.25975165,0,0,0,0,0,0,0,1,0,1
1973,-0.32286966,-0.055000067,1,0,0,1,0.69466823,-0.73440307,-0.44905245,1.3979267,-0.54775816,-1.0416653,0.30437067,0.25661239,0,0,0,0,0,0,0,1,0,0
1974,-0.74110341,-0.41823375,1,1,0,0,1.2357924,-0.73440307,-0.26707247,-1.4923329,-1.6700516,-0.21505216,0.27799928,0.26960486,0,0,0,0,0,0,0,1,0,0
1975,-0.60631508,0.13478833,1,0,0,0,0.55900103,-0.46202725,-0.24179746,-1.1825027,-1.159252,-0.69608414,0.29000193,0.26204413,0,0,0,0,0,0,0,0,0,0
1976,-0.74996775,-0.14365268,0,0,0,0,0.10300197,-0.1896514,-0.14069748,0.27794313,-1.2948878,-0.79237884,0.28681478,0.26053059,0,0,0,0,0,0,0,0,0,0
1977,-0.53419632,0.21577144,0,0,0,0,0.95333934,-0.10793865,0.21820746,0.14009899,-1.1180226,-0.50076956,0.29097074,0.26511404,0,0,0,0,0,0,0,0,0,0
1978,-0.42600018,0.10819614,0,0,0,0,0.89644742,-0.13517624,0.17523998,0.62989235,-1.0804492,-0.36035454,0.29185364,0.26732102,0,0,0,0,0,0,0,0,0,0
1979,-0.30970472,0.11629546,0,1,0,1,1.7578279,-0.21688899,0.38754994,0.48502842,-0.64437735,-0.90001637,0.30210036,0.25883877,0,0,0,0,0,0,0,0,0,0
1980,-0.61353511,-0.30383039,1,0,0,1,1.077929,0.05548685,0.41282496,-1.3803345,-0.57467705,-1.8349644,0.30373815,0.24414355,0,0,0,0,0,0,0,0,0,0
1981,-0.46105897,0.15247613,1,0,0,1,0.30028468,0.8181392,0.86019236,-0.95850599,-0.39791387,-1.7978262,0.3078917,0.24472727,0,0,0,0,0,0,0,0,0,0
1982,-0.29033884,0.17072013,0,0,1,1,0.46579397,1.1994654,1.2696474,-0.025824502,-0.39094949,-1.5388892,0.30805534,0.24879716,0,0,0,0,1,0,0,0,0,0
1983,-0.067130812,0.22320804,0,1,0,1,0.20386982,1.4446037,1.4086598,0.6525473,0.056020729,-1.6479961,0.31855816,0.24708225,0,0,0,0,0,0,0,0,0,0
1984,-0.29248586,-0.22535506,0,0,0,1,1.6954759,1.4990788,1.9596547,0.032248721,-0.18895319,-1.6733624,0.31280181,0.24668355,0,0,0,0,0,0,0,0,0,0
1985,-0.23621055,0.056275308,0,0,0,1,0.60639822,1.5535539,1.6437173,0.44290936,-0.32209268,-1.4937073,0.30967331,0.24950732,0,0,0,0,0,0,0,0,0,0
1986,0.23753412,0.47374469,0,0,0,1,-0.30174991,1.6080291,1.3909674,0.32006216,0.14473189,-1.1047786,0.32064268,0.25562039,0,0,0,0,0,0,0,0,0,0
1987,0.379233,0.14169888,0,1,0,1,0.16088498,1.3084158,1.2671199,1.0813957,0.30730435,-0.90761286,0.32446277,0.25871938,0,0,0,0,0,0,0,0,0,0
1988,0.19151476,-0.18771824,0,0,0,1,0.19335113,0.7909016,0.79953241,1.2052002,0.33689281,-1.205856,0.32515803,0.25403169,0,0,0,0,0,0,0,0,0,0
1989,0.24086088,0.049346119,0,0,0,1,0.27548727,0.35510027,0.42293495,0.11521047,0.3395102,-1.1358067,0.32521951,0.2551327,0,0,0,0,0,0,0,0,0,0
1990,0.25036207,0.009501189,1,0,0,1,-0.30845654,0.24614994,0.12468998,-0.51689422,0.19880894,-0.91855115,0.32191336,0.25854746,0,0,0,0,0,0,0,0,0,0
1991,0.2184011,-0.031960964,1,0,0,1,-0.99962699,0.8181392,0.42293495,-1.0826296,0.25217438,-1.1411408,0.32316732,0.25504887,0,0,0,0,0,0,0,0,0,0
1992,0.85975409,0.64135301,0,1,0,1,-1.2752775,1.2539406,0.73634487,-0.54561174,0.91043162,-0.38984972,0.33863491,0.26685745,0,0,0,0,0,0,0,0,0,0
1993,0.74697995,-0.11277413,0,0,0,1,-1.1196798,1.3901285,0.91579735,0.15605317,0.70125014,-0.43613392,0.33371961,0.26612994,0,0,0,0,0,0,0,0,0,0
1994,1.0328327,0.28585279,0,0,0,1,-1.7590121,1.1449902,0.47348493,0.59606951,1.0255889,-0.15273765,0.34134087,0.27058429,0,0,0,0,0,0,0,0,0,0
1995,1.1674197,0.13458693,0,0,0,1,-1.4568775,0.8181392,0.27128497,0.11903947,1.0031501,0.12587453,0.34081361,0.27496344,0,0,0,0,0,0,0,0,0,0
1996,0.72605413,-0.44136554,0,0,0,1,-0.59408015,0.6274761,0.38249496,0.16275392,0.59831828,-0.43484291,0.33130094,0.26615024,0,0,0,0,0,0,0,0,0,0
1997,1.6525837,0.92652959,0,1,0,0,-1.8857273,0.19167477,-0.45410743,0.12637839,1.07399,1.3471634,0.34247819,0.29415929,0,0,0,0,0,0,0,0,0,0
1998,1.5716605,-0.0809232,0,0,0,0,-1.7482392,-0.026225902,-0.61081243,0.43206051,0.96797824,1.4310706,0.33998713,0.29547814,0,0,0,0,0,0,0,0,0,0
1999,1.4210109,-0.15064967,0,0,0,0,-1.8635929,-0.13517624,-0.74982488,0.31719041,1.018213,0.87659687,0.34116754,0.28676307,0,0,0,0,0,0,0,0,0,0
2000,1.4285079,0.0074970722,0,0,0,0,-1.3178766,-0.27136415,-0.69421989,0.51438409,1.0279744,1.028741,0.3413969,0.28915444,0,0,0,0,0,0,0,0,0,0
2001,1.1946708,-0.23383713,0,1,0,0,-1.2795744,-0.40755209,-0.80795741,0.16211577,0.75806081,0.82696658,0.33505455,0.285983,0,0,0,0,0,0,0,0,0,0
2002,1.7365783,0.54190755,0,0,0,0,-0.58259326,-0.40755209,-0.57289994,0.094150946,1.1547512,1.3951724,0.34437588,0.29491389,0,0,0,0,0,0,0,0,0,0
2003,1.5381299,-0.19844842,0,0,1,0,-1.3178766,-0.43478966,-0.8458699,0.68381751,1.0588363,1.1489598,0.34212211,0.291044,0,0,0,0,0,1,0,0,0,0
2004,1.6973416,0.15921164,0,0,0,0,-0.86894077,-0.51650244,-0.77004492,0.09478911,1.1849245,1.3118045,0.34508488,0.29360354,0,0,0,0,0,0,0,0,0,0
2005,1.7263188,0.028977275,0,1,0,0,-2.1898847,-0.51650244,-1.2123573,0.20742564,1.2737514,1.2508429,0.34717214,0.29264536,0,0,0,0,0,0,0,0,0,0
2006,2.0078304,0.28151155,0,0,1,0,-1.0055962,-0.43478966,-0.73971492,0.28241029,1.5150973,1.4944296,0.35284323,0.29647398,0,0,0,0,0,0,1,0,0,0
2007,2.3840928,0.37626243,0,0,1,0,-0.76336557,-0.51650244,-0.73465991,0.12733564,1.9231657,1.7211281,0.36243191,0.30003718,0,0,0,0,0,0,1,0,0,0
2008,2.3178947,-0.066198111,1,0,0,0,-1.0016115,-0.48926485,-0.7902649,-0.79417789,1.8942016,1.661122,0.36175135,0.29909402,0,0,0,0,0,0,0,0,0,0
2009,2.0522707,-0.26562405,1,0,0,0,-1.3874863,0.0010116817,-0.46421742,-2.0638118,1.6678151,1.4092635,0.35643175,0.29513538,0,0,0,0,0,0,0,0,0,0
2010,2.4997156,0.44744492,0,1,0,1,-1.5536894,-0.026225902,-0.54509741,-0.0784733,1.7170815,2.2743526,0.35758939,0.3087326,0,0,0,0,0,0,0,0,0,0
2011,2.4460173,-0.053698301,0,0,0,1,-0.54533947,0.028249266,-0.15586248,-0.16334955,1.7987131,1.3899277,0.35950756,0.29483145,0,0,0,0,0,0,0,0,0,0
2012,2.4600923,0.014075041,0,0,0,1,-1.8420897,0.028249266,-0.59059244,-0.47796601,1.8747853,1.324195,0.3612951,0.2937983,0,0,0,0,0,0,0,0,0,0
2013,2.2747557,-0.18533659,0,0,0,1,-1.4059412,-0.10793865,-0.5703724,-0.15696788,1.7301728,1.3002089,0.35789701,0.29342127,0,0,0,0,0,0,0,0,0,0
